Welcome,"Welcome to PremiumExtract! This is a risk-controlled strategy based on swing trading, primarily using Put Credit Spreads, Call Credit Spreads, and Iron Condors to capture premium over time.",,,,,,,,,Total Profit,5090,,,,,,,,
Strategy Overview,"The strategy uses defined-risk spreads, which limits potential downsides compared to selling naked options. These spreads are beginner-friendly and easy to master.",,,,,,,,,Number of Trades,171,,,,,,,,
Historic Data,"Below is the historical performance since August 2023, showing strong results.",,,,,,,,,Average PnL per trade,29.77,*estimated with total PnL/number of trades,,,,,,,
Future Plans,"For now, trade alerts are free, but in the future, I plan to introduce a small monthly fee (just a cup of coffee!). Your support will help me keep improving and providing value to the community.",,,,,,,,,Win rate,79%,,,,,,,,
Commitment & Risk,"More trades will be placed moving forward. Past performance doesn’t guarantee future results, and risk management is essential. This strategy has performed well over the past months, but it's important to understand there are no guarantees.",,,,,,,,,,,,,,,,,,
Disclaimer,Please apply proper risk management and remember that these are trade ideas.,,,,,,,,,,,,,,,,,,
For access to trade alerts,,https://discord.gg/wTQZdSPRnz,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Index,Date placed,contracts,strategy type,Ticker,Short Put,Short Call,Spread,Entry,Expiry Date,Exit,Exit Date,PnL,Trading days,Max risk,,,,,
1,8 Aug 2023,1,Bear Call ,PLTR,,17,5,-1,15 Sep 2023,-0.64,9 Aug 2023,36,1,400,,,Legend,Description,Example
2,8 Aug 2023,1,Bear Call ,AMZN,,147.5,2.5,-0.68,15 Sep 2023,-0.34,16 Aug 2023,34,8,182,,,Spread,"Difference between strike prices (e.g., in a spread).","For a put credit spread of short put 100 and spread of 5. We are selling at strike price 100 and buying strike price 95. For an iron condor of short put 150, short call 200 and spread of 10, we are selling: 150 put + 200 call; buying : 140 Put + 210 call"
3,10 Aug 2023,1,Bear Call ,META,,325,5,-1.53,15 Sep 2023,-0.76,16 Aug 2023,77,6,347,,,DTE,Days to expiry (how many days until options expire).,
4,14 Aug 2023,1,Bull Put,GS,320,,5,-0.99,29 Sep 2023,-0.79,12 Sep 2023,20,29,401,,,PnL,Profit or loss from the trade.,
5,14 Aug 2023,1,Bull Put,META,285,,5,-1.18,29 Sep 2023,-0.91,12 Sep 2023,27,29,382,,,Trading Days,Number of days the trade was held.,
6,15 Aug 2023,1,Iron Condor,AMD,95,130,5,-1.1,29 Sep 2023,-0.57,1 Sep 2023,53,17,390,,,Max Risk,Maximum potential loss for the trade.,Width of the spread - credit received
7,15 Aug 2023,1,Iron Condor,AMZN,125,150,5,-1.33,29 Sep 2023,-0.7,31 Aug 2023,63,16,367,,,Bear Call ,Call credit spread,
8,15 Aug 2023,1,Iron Condor,NFLX,375,485,5,-1.12,29 Sep 2023,-0.59,8 Sep 2023,53,24,388,,,Bull Put,Put credit spread,
9,15 Aug 2023,1,Bull Put,QQQ,355,,5,-1.08,29 Sep 2023,-0.56,30 Aug 2023,52,15,392,,,Iron Condor,Put credit + Call credit,
10,16 Aug 2023,1,Iron Condor,NVDA,370,505,5,-2.03,29 Sep 2023,-0.88,7 Sep 2023,115,22,297,,,Short Put,Strike price of the put option sold (for put credit spread),"if you are confused of which to buy/sell, always sell the strike closer to the price and buy the one further away. Make sure you are receiving a premium for the spread"
11,16 Aug 2023,1,Iron Condor,XOM,100,117,5,-0.99,29 Sep 2023,-1.96,12 Sep 2023,-97,27,401,,,Short Call,Strike price of the call option sold (for call credit spread),
12,16 Aug 2023,1,Bull Put,TSLA,210,,5,-1.24,29 Sep 2023,-0.62,29 Aug 2023,62,13,376,,,Entry,"Price at which the trade was entered. Since we are receiving a credit, the number of negative",Entry -1: Getting a credit of $100 to sell the spread at 1.00
13,17 Aug 2023,1,Bull Put,AAPL,170,,5,-1.23,29 Sep 2023,-0.62,23 Aug 2023,61,6,377,,,Exit,Price at which the trade was exited. We are exiting at a debit,Exit: -0.64: Paying $64 to close/buy the spread at 0.64
14,17 Aug 2023,1,Bull Put,CAT,265,,5,-1.08,29 Sep 2023,-0.56,30 Aug 2023,52,13,392,,,,,
15,17 Aug 2023,1,Bull Put,FSLR,170,,5,-1.29,29 Sep 2023,-0.67,1 Sep 2023,62,15,371,,,,,
16,18 Aug 2023,1,Bull Put,TSLA,200,,5,-1.38,29 Sep 2023,-0.58,22 Aug 2023,80,4,362,,,,,
17,18 Aug 2023,1,Bull Put,QQQ,345,,5,-1.2,29 Sep 2023,-0.62,23 Aug 2023,58,5,380,,,,,
